"scenario_number","dist_seq_estim2","dist_epi_estim2","perfect_align","proportion_seq_greater","rmse_sequenceRt","rmse_casecountRt"
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"008",0.0809982981784368,0.0780295507442579,NA,1,NA,NA
"008",NA,NA,NA,NA,0.29072766307946,0.277752447904425
"009",0.111173726295314,0.0880923430232519,NA,1,NA,NA
"009",NA,NA,NA,NA,0.359464002723968,0.332125632504054
"010",0.103570375975408,0.0575530627266851,NA,1,NA,NA
"010",NA,NA,NA,NA,0.375597652519101,0.246575124215863
"013",0.0672361735041892,0.0511553315672355,NA,1,NA,NA
"013",NA,NA,NA,NA,0.235534097431146,0.194942737688222
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"008",0.0809982981784368,0.0780295507442579,NA,1,NA,NA
"008",NA,NA,NA,NA,0.29072766307946,0.277752447904425
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"008",0.0809982981784368,0.0780295507442579,NA,1,NA,NA
"008",NA,NA,NA,NA,0.29072766307946,0.277752447904425
"009",0.111173726295314,0.0880923430232519,NA,1,NA,NA
"009",NA,NA,NA,NA,0.359464002723968,0.332125632504054
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"008",0.0809982981784368,0.0780295507442579,NA,1,NA,NA
"008",NA,NA,NA,NA,0.29072766307946,0.277752447904425
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"008",0.0809982981784368,0.0780295507442579,NA,1,NA,NA
"008",NA,NA,NA,NA,0.29072766307946,0.277752447904425
"009",0.111173726295314,0.0880923430232519,NA,1,NA,NA
"009",NA,NA,NA,NA,0.359464002723968,0.332125632504054
"010",0.103570375975408,0.0575530627266851,NA,1,NA,NA
"010",NA,NA,NA,NA,0.375597652519101,0.246575124215863
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"008",0.0809982981784368,0.0780295507442579,NA,1,NA,NA
"008",NA,NA,NA,NA,0.29072766307946,0.277752447904425
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"008",0.0809982981784368,0.0780295507442579,NA,1,NA,NA
"008",NA,NA,NA,NA,0.29072766307946,0.277752447904425
"009",0.111173726295314,0.0880923430232519,NA,1,NA,NA
"009",NA,NA,NA,NA,0.359464002723968,0.332125632504054
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"004",0.0996178742068877,0.0626287466590857,NA,1,NA,NA
"004",NA,NA,NA,NA,0.304789912065252,0.281000718605742
"007",0.0746256065247908,0.0908476925614989,NA,0,NA,NA
"007",NA,NA,NA,NA,0.271209335901133,0.58383648853709
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"002",0.0926366244747674,0.0541175651187751,NA,1,NA,NA
"002",NA,NA,NA,NA,0.336780794975813,0.222035951676264
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
"001",NA,NA,NA,NA,0.352215195675565,0.228720818825138
"001",0.0913603669939334,0.0541248225430744,NA,1,NA,NA
